week_start,year,week_number,region_code,region_name,patch_code,available_engineers,capacity_jobs,demand_jobs,gap_jobs,utilisation_pct,rag_status,is_forecast
2024-12-30,2025,1,MID,Midlands,MID-P1,4,42,58,-16,138.1,Red,0
2024-12-30,2025,1,MID,Midlands,MID-P2,4,55,52,3,94.5,Red,0
2024-12-30,2025,1,MID,Midlands,MID-P3,4,48,57,-9,118.8,Red,0
2024-12-30,2025,1,MID,Midlands,MID-P4,3,49,41,8,83.7,Amber,0
2024-12-30,2025,1,MID,Midlands,MID-P5,3,35,41,-6,117.1,Red,0
2024-12-30,2025,1,MID,Midlands,MID-P6,3,44,47,-3,106.8,Red,0
2024-12-30,2025,1,MID,Midlands,MID-P7,3,45,58,-13,128.9,Red,0
2024-12-30,2025,1,NE,North East,NE-P1,3,46,45,1,97.8,Red,0
2024-12-30,2025,1,NE,North East,NE-P2,3,46,33,13,71.7,Green,0
2024-12-30,2025,1,NE,North East,NE-P3,4,50,56,-6,112.0,Red,0
2024-12-30,2025,1,NE,North East,NE-P4,2,26,45,-19,173.1,Red,0
2024-12-30,2025,1,NE,North East,NE-P5,3,39,45,-6,115.4,Red,0
2024-12-30,2025,1,NW,North West,NW-P1,3,44,43,1,97.7,Red,0
2024-12-30,2025,1,NW,North West,NW-P2,4,49,62,-13,126.5,Red,0
2024-12-30,2025,1,NW,North West,NW-P3,3,45,50,-5,111.1,Red,0
2024-12-30,2025,1,NW,North West,NW-P4,3,44,64,-20,145.5,Red,0
2024-12-30,2025,1,NW,North West,NW-P5,3,39,43,-4,110.3,Red,0
2024-12-30,2025,1,NW,North West,NW-P6,3,48,47,1,97.9,Red,0
2024-12-30,2025,1,SCO,Scotland,SCO-P1,3,44,48,-4,109.1,Red,0
2024-12-30,2025,1,SCO,Scotland,SCO-P2,4,55,60,-5,109.1,Red,0
2024-12-30,2025,1,SCO,Scotland,SCO-P3,3,53,57,-4,107.5,Red,0
2024-12-30,2025,1,SCO,Scotland,SCO-P4,4,45,59,-14,131.1,Red,0
2024-12-30,2025,1,SE,South East,SE-P1,4,48,51,-3,106.2,Red,0
2024-12-30,2025,1,SE,South East,SE-P2,3,38,62,-24,163.2,Red,0
2024-12-30,2025,1,SE,South East,SE-P3,5,56,58,-2,103.6,Red,0
2024-12-30,2025,1,SE,South East,SE-P4,4,43,59,-16,137.2,Red,0
2024-12-30,2025,1,SE,South East,SE-P5,4,56,59,-3,105.4,Red,0
2024-12-30,2025,1,SE,South East,SE-P6,4,48,53,-5,110.4,Red,0
2024-12-30,2025,1,SE,South East,SE-P7,3,36,51,-15,141.7,Red,0
2024-12-30,2025,1,SE,South East,SE-P8,3,50,62,-12,124.0,Red,0
2024-12-30,2025,1,SW,South West,SW-P1,3,40,57,-17,142.5,Red,0
2024-12-30,2025,1,SW,South West,SW-P2,4,45,42,3,93.3,Red,0
2024-12-30,2025,1,SW,South West,SW-P3,3,44,51,-7,115.9,Red,0
2024-12-30,2025,1,SW,South West,SW-P4,3,46,40,6,87.0,Amber,0
2024-12-30,2025,1,WAL,Wales,WAL-P1,3,34,61,-27,179.4,Red,0
2024-12-30,2025,1,WAL,Wales,WAL-P2,4,52,50,2,96.2,Red,0
2024-12-30,2025,1,WAL,Wales,WAL-P3,3,47,57,-10,121.3,Red,0
2024-12-30,2025,1,YRK,Yorkshire,YRK-P1,4,51,67,-16,131.4,Red,0
2024-12-30,2025,1,YRK,Yorkshire,YRK-P2,4,52,48,4,92.3,Red,0
2024-12-30,2025,1,YRK,Yorkshire,YRK-P3,4,50,62,-12,124.0,Red,0
2024-12-30,2025,1,YRK,Yorkshire,YRK-P4,3,38,47,-9,123.7,Red,0
2024-12-30,2025,1,YRK,Yorkshire,YRK-P5,3,42,60,-18,142.9,Red,0
2025-01-06,2025,2,MID,Midlands,MID-P1,7,78,71,7,91.0,Red,0
2025-01-06,2025,2,MID,Midlands,MID-P2,6,82,102,-20,124.4,Red,0
2025-01-06,2025,2,MID,Midlands,MID-P3,7,85,87,-2,102.4,Red,0
2025-01-06,2025,2,MID,Midlands,MID-P4,6,86,89,-3,103.5,Red,0
2025-01-06,2025,2,MID,Midlands,MID-P5,4,52,94,-42,180.8,Red,0
2025-01-06,2025,2,MID,Midlands,MID-P6,4,56,89,-33,158.9,Red,0
2025-01-06,2025,2,MID,Midlands,MID-P7,5,74,89,-15,120.3,Red,0
2025-01-06,2025,2,NE,North East,NE-P1,5,72,53,19,73.6,Green,0
2025-01-06,2025,2,NE,North East,NE-P2,5,75,77,-2,102.7,Red,0
2025-01-06,2025,2,NE,North East,NE-P3,4,58,81,-23,139.7,Red,0
2025-01-06,2025,2,NE,North East,NE-P4,5,55,76,-21,138.2,Red,0
2025-01-06,2025,2,NE,North East,NE-P5,4,49,68,-19,138.8,Red,0
2025-01-06,2025,2,NW,North West,NW-P1,6,83,77,6,92.8,Red,0
2025-01-06,2025,2,NW,North West,NW-P2,6,75,83,-8,110.7,Red,0
2025-01-06,2025,2,NW,North West,NW-P3,5,71,78,-7,109.9,Red,0
2025-01-06,2025,2,NW,North West,NW-P4,5,76,83,-7,109.2,Red,0
2025-01-06,2025,2,NW,North West,NW-P5,5,64,73,-9,114.1,Red,0
2025-01-06,2025,2,NW,North West,NW-P6,6,78,91,-13,116.7,Red,0
2025-01-06,2025,2,SCO,Scotland,SCO-P1,6,72,66,6,91.7,Red,0
2025-01-06,2025,2,SCO,Scotland,SCO-P2,6,83,87,-4,104.8,Red,0
2025-01-06,2025,2,SCO,Scotland,SCO-P3,5,72,90,-18,125.0,Red,0
2025-01-06,2025,2,SCO,Scotland,SCO-P4,5,70,85,-15,121.4,Red,0
2025-01-06,2025,2,SE,South East,SE-P1,6,81,81,0,100.0,Red,0
2025-01-06,2025,2,SE,South East,SE-P2,7,73,83,-10,113.7,Red,0
2025-01-06,2025,2,SE,South East,SE-P3,6,68,78,-10,114.7,Red,0
2025-01-06,2025,2,SE,South East,SE-P4,6,70,70,0,100.0,Red,0
