contact_date,year,month,week,day_of_week,region_code,region_name,channel,volume,bookings,cancellations,abandoned,avg_handle_mins,is_forecast
2025-01-01,2025,1,1,Wednesday,MID,Midlands,Agent Callback,17,5,1,0,7.4,0
2025-01-01,2025,1,1,Wednesday,MID,Midlands,App,38,14,2,1,8.98,0
2025-01-01,2025,1,1,Wednesday,MID,Midlands,IVR,30,7,4,0,8.39,0
2025-01-01,2025,1,1,Wednesday,MID,Midlands,Phone,109,38,7,3,8.46,0
2025-01-01,2025,1,1,Wednesday,MID,Midlands,SMS,23,7,2,2,8.81,0
2025-01-01,2025,1,1,Wednesday,MID,Midlands,Web,80,31,4,4,8.1,0
2025-01-01,2025,1,1,Wednesday,NE,North East,Agent Callback,12,3,0,0,7.85,0
2025-01-01,2025,1,1,Wednesday,NE,North East,App,44,12,3,1,7.99,0
2025-01-01,2025,1,1,Wednesday,NE,North East,IVR,22,7,1,0,7.84,0
2025-01-01,2025,1,1,Wednesday,NE,North East,Phone,84,24,4,4,7.93,0
2025-01-01,2025,1,1,Wednesday,NE,North East,SMS,10,4,0,0,7.02,0
2025-01-01,2025,1,1,Wednesday,NE,North East,Web,56,14,1,2,8.51,0
2025-01-01,2025,1,1,Wednesday,NW,North West,Agent Callback,3,1,0,0,12.2,0
2025-01-01,2025,1,1,Wednesday,NW,North West,App,42,16,1,1,8.14,0
2025-01-01,2025,1,1,Wednesday,NW,North West,IVR,21,7,1,1,9.2,0
2025-01-01,2025,1,1,Wednesday,NW,North West,Phone,110,38,5,5,8.1,0
2025-01-01,2025,1,1,Wednesday,NW,North West,SMS,17,5,1,0,8.44,0
2025-01-01,2025,1,1,Wednesday,NW,North West,Web,75,22,2,0,8.94,0
2025-01-01,2025,1,1,Wednesday,SCO,Scotland,Agent Callback,10,4,1,0,9.87,0
2025-01-01,2025,1,1,Wednesday,SCO,Scotland,App,22,6,2,1,10.26,0
2025-01-01,2025,1,1,Wednesday,SCO,Scotland,IVR,29,10,1,1,9.35,0
2025-01-01,2025,1,1,Wednesday,SCO,Scotland,Phone,78,21,4,3,8.16,0
2025-01-01,2025,1,1,Wednesday,SCO,Scotland,SMS,21,8,0,0,7.9,0
2025-01-01,2025,1,1,Wednesday,SCO,Scotland,Web,52,18,1,0,9.4,0
2025-01-01,2025,1,1,Wednesday,SE,South East,Agent Callback,8,5,2,0,8.12,0
2025-01-01,2025,1,1,Wednesday,SE,South East,App,91,26,6,4,8.51,0
2025-01-01,2025,1,1,Wednesday,SE,South East,IVR,19,6,0,1,8.18,0
2025-01-01,2025,1,1,Wednesday,SE,South East,Phone,152,48,8,2,8.26,0
